pl_name,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim
11 Com b,0,12.200,,,0,1.090,,,0,4914.89849,39.09289,-39.72855,0,15.46400,0.12300,-0.12500,0
11 UMi b,0,12.300,,,0,1.090,,,0,4684.81420,794.57500,-794.57500,0,14.74000,2.50000,-2.50000,0
14 And b,0,13.100,,,0,1.160,,,0,1131.15130,36.23244,-38.77507,0,3.55900,0.11400,-0.12200,0
14 Her b,0,12.600,,,0,1.120,,,0,2559.47216,518.69596,-280.64248,0,8.05300,1.63200,-0.88300,0
16 Cyg B b,0,13.500,,,0,1.200,,,0,565.73740,25.42640,-25.42640,0,1.78000,0.08000,-0.08000,0
17 Sco b,0,12.900,,,0,1.150,,,0,1373.01872,47.67426,-38.13941,0,4.32000,0.15000,-0.12000,0
18 Del b,0,12.500,,,0,1.120,,,0,2926.24614,50.85255,-24.47279,0,9.20700,0.16000,-0.07700,0
1RXS J160929.1-210524 b,0,18.647,,,0,1.664,,,0,3000.00000,300.00000,-300.00000,0,8.00000,1.00000,-1.00000,0
24 Boo b,0,13.900,,,0,1.240,,,0,280.64248,11.44182,-13.66662,0,0.88300,0.03600,-0.04300,0
24 Sex b,0,13.400,,,0,1.190,,,0,632.46000,82.63000,-120.77000,0,1.99000,0.26000,-0.38000,0
24 Sex c,0,13.900,,,0,1.240,,,0,273.32000,111.24000,-69.92000,0,0.86000,0.35000,-0.22000,0
2M0437 b,0,13.000,,,0,1.160,,,0,1271.31363,317.82841,-317.82841,0,4.00000,1.00000,-1.00000,0
2MASS J01033563-5515561 AB b,0,12.300,,,0,1.100,,,0,4131.79000,317.83000,-317.83000,0,13.00000,1.00000,-1.00000,0
2MASS J01225093-2439505 b,0,11.209,,,0,1.000,,,0,7786.50000,794.50000,-794.50000,0,24.50000,2.50000,-2.50000,0
2MASS J02192210-3925225 b,0,16.141,0.336,-0.336,0,1.440,0.030,-0.030,0,4417.83700,349.61300,-349.61300,0,13.90000,1.10000,-1.10000,0
2MASS J0249-0557 c,0,12.400,,,0,1.110,,,0,3686.80952,413.17693,-317.82841,0,11.60000,1.30000,-1.00000,0
2MASS J03590986+2009361 b,0,12.200,,,0,1.080,,,0,5720.91133,317.82841,-317.82841,0,18.00000,1.00000,-1.00000,0
2MASS J04414489+2301513 b,0,12.600,,,0,1.130,,,0,2383.60000,794.50000,-794.50000,0,7.50000,2.50000,-2.50000,0
2MASS J11011926-7732383 b,0,11.900,,,0,1.060,,,0,8899.19540,3178.28407,-2224.79885,0,28.00000,10.00000,-7.00000,0
2MASS J11550485-7919108 b,0,12.100,,,0,1.080,,,0,6356.56814,317.82841,-317.82841,0,20.00000,1.00000,-1.00000,0
2MASS J12073346-3932539 b,0,12.900,,,0,1.150,,,0,1589.15000,635.66000,-635.66000,0,5.00000,2.00000,-2.00000,0
2MASS J19383260+4603591 b,0,13.400,,,0,1.200,,,0,603.87700,31.78300,-31.78300,0,1.90000,0.10000,-0.10000,0
2MASS J21252752-8138278 b,0,12.400,,,0,1.100,,,0,3813.94088,317.82841,-317.82841,0,12.00000,1.00000,-1.00000,0
2MASS J22362452+4751425 b,0,12.300,,,0,1.100,,,0,3972.87500,476.74500,-476.74500,0,12.50000,1.50000,-1.50000,0
30 Ari B b,0,12.300,,,0,1.100,,,0,4392.41060,572.09400,-572.09400,0,13.82000,1.80000,-1.80000,0
4 UMa b,0,12.600,,,0,1.120,,,0,2511.48007,63.24785,-120.13914,0,7.90200,0.19900,-0.37800,0
42 Dra b,0,13.000,,,0,1.160,,,0,1233.13000,270.14000,-270.14000,0,3.88000,0.85000,-0.85000,0
47 UMa b,0,13.200,,,0,1.180,,,0,804.08000,22.25000,-19.07000,0,2.53000,0.07000,-0.06000,0
47 UMa c,0,14.200,,,0,1.270,,,0,171.62100,20.97600,-23.20100,0,0.54000,0.06600,-0.07300,0
47 UMa d,0,13.500,,,0,1.200,,,0,521.22000,92.17000,-152.55000,0,1.64000,0.29000,-0.48000,0
51 Eri b,0,13.400,,,0,1.190,,,0,635.66000,,,0,2.00000,,,0
51 Peg b,0,14.300,,,0,1.270,,,0,146.20180,19.06980,-3.17830,0,0.46000,0.06000,-0.01000,0
